"key","en","jp","ch","tc","ru","sp","latam","gr","pl","it","tr","fr","br","pr","kr","hu",""
"resolution_options_label","Resolution:","画面解像度：","屏幕分辨率:","螢幕解析度","Pазрешение:","Resolución:","Resolución:","Auflösung:","Rozdzielczość:","Risoluzione:","Çözünürlük:","Résolution :","Resolução da tela:","Resolução da tela:","해상도:","Felbontás:",""
"options_on","On","オン","开","開","Включить","Activado","Activado","An","Wł","On","Açık","On","Ligada","Ligada","켜기","Be",""
"options_off","Off","オフ","关","關","Выключить","Desactivado","Desactivado","Aus","Wył","Off","Kapalı","Off","Desligada","Desligada","끄기","Ki",""
"timer_survive","Survive!","生き延びろ!","生存！","生存！","До рассвета","¡Sobrevive!","¡Sobrevive!","Überlebe!","Przetrwaj!","Sopravvivi!","Hayatta Kal!","Survivez !","Sobreviva!","Sobreviva!","미션: 생존","Éld Túl!",""
"crossbow_name","Crossbow","クロスボウ","十字弩","十字弩","Арбалет","Ballesta","Ballesta","Armbrust","Kusza","Balestra","Yaylı Tüfek","Arbalète","Besta","Besta","석궁","Számszeríj",""
"crossbow_description","Hold the shoot button to charge. Charging gives more damage and piercing to your bullets.","射撃ボタンを押し続けてチャージする。<br>チャージすると弾のダメージと貫通力がアップ。","长按蓄力，子弹将增加伤害，并且穿透敌人。","子彈將穿透一名敵人，非移動狀態下，子彈傷害隨停留時間延長增加，移動將重置效果。","Удерж.кнопку выстрела для заряда. Заряженный выстрел наносит больше урона и пронзает противников.","Manten el botón de disparo para cargar. Cargar le da más daño y penetración a tus balas.","Manten el botón de disparo para cargar. Cargar le da más daño y penetración a tus balas.","Halte die Linke Maustaste gedrückt um die Armbrust aufzuladen. Aufladen gibt deinen Schüssen mehr Schaden und Durchdringung.","Przytrzymaj lewy przycisk by naładować. Naładowanie daje więcej obrażeń i penetracji pocisku.","Tieni premuto il comando di fuoco per caricare un colpo più potente che trapassa i nemici e infligge danno bonus.","Ateş Etme tuşuna basılı ederek şarj et. Şarj etmek Mermi Hasarı ve Delme kazandırır.","Maintenez le bouton de tir pour charger. La charge donne plus de dégâts et de pénétration à vos balles.","Segure o botão de disparo para carregar. Carregar concede mais dano e perfuração aos seus Disparos.","Segure o botão de disparo para carregar. Carregar concede mais dano e perfuração aos seus Disparos.","발사 버튼을 누르고 있으면 무기를 충전합니다. 충전 시 피해량과 관통력이 증가합니다.","Tartsd nyomva a lövés gombot a számszeríj megfeszítéséhez. A megfeszített számszeríj nagyobbat sebez és ellenfeleket üt át.",""
"flame_cannon_name","Flame Cannon","フレイムキャノン","火炮","火炮","Огнемет","Cañon de Llamas","Cañon de Llamas","Feuerkanone","Ognista Armata","Lanciafiamme","Alev atar","Lance-Flammes","Canhão de Chamas","Canhão de Chamas","화염방사기","Lángszóró",""
"flame_cannon_description","Bullets burn enemies for 3 damage per second.","弾が敵を燃やし、毎秒3ダメージを与える。","造成伤害时，会为子弹附近的敌人叠加每秒3点伤害的燃烧效果。","造成傷害時，會為子彈附近的敵人疊加每秒3點傷害的燃燒效果。","Поджигает врагов, нанося 3 урона в секунду.","Las Balas queman enemigos, haciendo 3 de daño por segundo.","Las Balas queman enemigos, haciendo 3 de daño por segundo.","Schüsse setzen Gegner für 3 Schaden pro Sekunde in Brand.","Pociski palą przeciwników po 3 obrażenia na sekundę.","I proiettili bruciano i nemici, infliggendo 3 danni al secondo.","Mermiler düşmanlara saniyede 3 yakma hasarı verir","Les balles brûlent les ennemis, infligeant 3 dégâts par seconde.","As balas queimam os inimigos, causando 3 de dano por segundo.","As balas queimam os inimigos, causando 3 de dano por segundo.","초당 3 대미지를 주는 화염 공격을 가합니다.","A golyók felgyújtják az elenségeket, 3 sebzést okozva másodpercenként.",""
"revolver_name","Revolver","リボルバー","左轮手枪","左輪手槍","Револьвер","Revólver","Revólver","Revolver","Rewolwer","Revolver","Altıpatlar","Pistolet","Revólver","Revólver","권총","Revolver",""
"revolver_description","Trusty, balanced weapon.","信頼できる、バランスのいい武器。","中规中矩但是可靠的武器。","中規中矩但是可靠的武器。","Надежное, сбалансированное оружие.","Confiable, arma balanceada.","Confiable, arma balanceada.","Eine verlässliche, ausbalancierte Waffe.","Stara, zbalansowana broń.","Vecchia, fidata arma.","Güvenebileceğin, dengeli silah.","Arme fiable et équilibrée.","Uma arma confiável e balanceada.","Uma arma confiável e balanceada.","믿음직스러운, 균형이 잘 잡힌 무기입니다.","Megbízható, kiegyensúlyozott fegyver.",""
"shotgun_name","Shotgun","ショットガン","霰弹枪","散彈槍","Дробовик","Escopeta","Escopeta","Schrotflinte","Strzelba","Fucile","Pompalı Tüfek","Fusil à Pompe","Espingarda","Espingarda","샷건","Sörétes Puska",""
"shotgun_description","Short-ranged weapon that shoots many projectiles.","多くの弾を発射する近距離武器。","短射程武器，杀伤范围较广。","短射程武器，殺傷範圍較廣。","Малая дальность, увеличенная площадь поражения.","Arma de corto alcance que dispara muchos proyectiles.","Arma de corto alcance que dispara muchos proyectiles.","Eine Waffe mit kurzer Reichweite, die mehrere Projektile schießt.","Broń na krótki zasięg wystrzeliwująca wiele pocisków naraz.","Arma a corto raggio che spara più proiettili.","Kısa menzilli, çoklu mermi atan silah.","Arme à courte portée tirant plusieurs projectiles.","Arma de curto alcance que dispara muitos projéteis.","Arma de curto alcance que dispara muitos projéteis.","짧은 사정거리 안에 많은 탄환을 발사합니다.","Rövid hatótávolságú fegyver, amely egyszerre több lövedéket lő ki.",""
"unavailable_name","Unavailable","利用不可","敬请期待","敬請期待","Недоступно","No Disponible","No Disponible","Nicht Verfügbar","Niedostępny/Niedostępna/Niedostępne","Non disponibile","Kullanım dışı","Indisponible","Indisponível","Indisponível","사용 불가","Nem Elérhető",""
"unavailable_gun_description","More guns available in the Full Version of the game!","製品版ではさらに多くの武器が使える！","正式版将包含更多武器！","正式版將包含更多武器！","Больше оружия в полной версии!","¡Más armas disponibles en la Versión Completa del juego!","¡Más armas disponibles en la Versión Completa del juego!","Mehr Waffen in der Vollversion des Spiels!","Więcej broni dostępnych w pełnej wersji!","Sbloccalo nella versione completa!","Daha çok silah, Tam Sürümde var!","Plus d'armes disponibles dans la Version Complète du jeu !","Mais armas estarão disponíveis na Versão Completa do jogo!","Mais armas estarão disponíveis na Versão Completa do jogo!","풀 버전에서 더 많은 총들을 사용할 수 있습니다!","Több fegyver elérhető a játék teljes verziójában!",""
"diamond_name","Diamond","ダイヤモンド","黛蒙德","黛蒙德","Даймонд","Diamond","Diamond","Diamond","Diament","Diamond","Diamond","Diamond","Diamond","Diamond","다이아몬드","Diamond",""
"diamond_description","Starts with very high HP.","初期HPが非常に高い。","超高初始血量。","超高初始血量。","Начинает с большим количеством ОЗ.","Empieza con muchos PS.","Empieza con muchos PS.","Startet mit sehr vielen Lebenspunkten.","Zaczyna z dużą liczbą HP.","Inizia la partita con molti HP.","Çok yüksek can ile başlar.","Commence avec beaucoup de PV.","Começa com os PV muito altos.","Começa com os PV muito altos.","HP가 매우 높습니다.","Magas HP-val kezd.",""
"hina_name","Hina","ヒナ","阳菜","陽菜","Хина","Hina","Hina","Hina","Hina","Hina","Hina","Hina","Hina","Hina","히나","Hina",""
"hina_description","Right click to summon a Shadow Clone that attacks nearby enemies. Shadow Clone deals damage equal to your Bullet Damage.","スキルの使用で近くの敵を攻撃する影を召喚する。<br>影は弾と同じダメージを与える。","鼠标右键将向移动方向突进，并在原地留下一个残影，影子将在短暂延迟后起舞攻击周围敌人，造成的伤害等同于子弹伤害。","滑鼠右鍵將向目標方向突進，並在原地留下一個殘影，影子將在短暫延遲後起舞攻擊周圍敵人，造成的傷害等同於子彈傷害。","Правый клик для призыва тени, которая атакует ближайших врагов. Тень полностью копирует урон персонажа.","Click derecho para invocar el Clon de Sombra, que ataca enemigos cercanos. Clon de Sombra hace el mismo Daño de Bala.","Click derecho para invocar el Clon de Sombra, que ataca enemigos cercanos. Clon de Sombra hace el mismo Daño de Bala.","Klicke die rechte Maustaste um einen Schattenklon zu beschwören, der nahe Gegner angreift. Der Schattenklon macht so viel Schaden, wie dein Waffenschaden.","Kliknij prawym przyciskiem by przywołać cienistego klona, który atakuje pobliskich przeciwników. Atak klona zadaje tyle samo obrażeń co pojedyńczy pocisk.","Premi il tasto destro per evocare un Clone d'Ombra che attacca i nemici vicini. Il danno del Clone è uguale al danno dei tuoi proiettili.","Sağ tuşa basarak etrafına hasar veren Gölge Kopyasını oluşturur. Gölge Kopyası'nın verdiği hasar Mermi Hasarı ile eşittir.","Clic droit pour invoquer un Clône d'Ombre qui attaque les ennemis à proximité. Les dégâts du Clône d'Ombre sont équivalents à ceux de vos balles.","Clique com o botão direito do mouse para conjurar um Clone de Sombra que ataca os inimigos próximos. Clone de Sombra causa dano igual ao seu Dano do Disparo.","Clique com o botão direito do mouse para conjurar um Clone de Sombra que ataca os inimigos próximos. Clone de Sombra causa dano igual ao seu Dano do Disparo.","우클릭으로 가까운 적을 공격하는 그림자 클론을 소환합니다. 그림자 클론의 대미지는 탄환 피해량과 같습니다.","Nyomd meg a jobb egérgombot egy Árny Klón megidézéséhez, ami a közelben lévő ellenfeleket megtámadja.",""
"scarlett_name","Scarlett","スカーレット","斯嘉丽","斯嘉麗","Скарлет","Scarlett","Scarlett","Scarlett","Scarlett","Scarlett","Scarlett","Scarlett","Scarlett","Scarlett","스칼렛","Scarlett",""
"scarlett_description","On every 3rd shot, throw out a wave of fire that burns enemies for 3 damage per second.","3発撃つごとに、敵を燃やし毎秒3ダメージを与える<br>炎の波動を放つ。","每第3次射击，会向目标方向发射一道火焰冲击，给予直线上的敌人每秒3点伤害的燃烧效果。","每第3次射擊，會向目標方向發射一道火焰衝擊，給予直線上的敵人每秒3點傷害的燃燒效果。","Каждый 3-ий выстрел запускает огненную волну, поджигая врагов и нанося им 3 урона в секунду.","Cada 3er disparo, lanza una ola de fuego quemando enemigos, haciendo 3 de daño por segundo.","Cada 3er disparo, lanza una ola de fuego quemando enemigos, haciendo 3 de daño por segundo.","Nach jedem dritten Schuss wirfst du eine Welle aus Feuer, die Gegner für 3 Schaden pro Sekunde in Brand setzt.","Co trzeci strzał wyrzuca falę ognia, która pali przeciwników przez 3 sekundy.","Ogni 3 colpi, lancia una fenice di fuoco che brucia i nemici, infliggendo 3 danni al secondo.","Her 3. vuruşta saniye başına 3 yakma hasarı veren alev dalgası gönderir.","Tous les 3ème tirs lancent une vague de feu qui brûle les ennemis, infligeant 3 dégâts par seconde.","A cada terceiro disparo, lança uma onda de fogo que queima os inimigos, causando 3 de dano por segundo.","A cada terceiro disparo, lança uma onda de fogo que queima os inimigos, causando 3 de dano por segundo.","3번째 샷마다 초당 3 대미지를 주는 화염을 발사합니다.","Minden harmadik lövéssel egy tűzhullámot is kilő, amely a felgyújtott ellenségeknek 3 sebzést okoz másodpercenként.",""
"shana_name","Shana","シャナ","夏娜","夏娜","Шана","Shana","Shana","Shana","Shana","Shana","Shana","Shana","Shana","Shana","샤나","Shana",""
"shana_description","Can reroll upgrades once per level.","レベルアップのたびに、アップグレード候補を1回変更できる。","每次升级，有一次机会可以重置可选择的技能。","每次升級，有一次機會可以重置可選擇的技能。","Реролл улучшений один раз за уровень.","Puedes refrescar mejoras una vez por nivel.","Puedes refrescar mejoras una vez por nivel.","Kann einmal pro Stufenaufstieg neue Verbesserungen aussuchen.","Może zmienić dostępne ulepszenia raz na poziom.","Può cambiare i potenziamenti una volta per livello.","Seviye atladığında alabileceğin güçlendirmeleri 1 kere zarlamanı sağlar.","Peut relancer les améliorations une fois par niveau.","Pode atualizar as melhorias uma vez por nível.","Pode atualizar as melhorias uma vez por nível.","레벨업 시 능력 선택지를 한번 새로고침할 수 있습니다.","Lecserélheti a lehetséges fejlesztések listáját szintenként.",""
"unavailable_character_description","More characters available in the Full Version of the game!","製品版では使用できるキャラクターが増える！","正式版将包含更多角色！","正式版將包含更多角色！","Больше персонажей доступно в полной версии игры!","¡Más personajes disponibles en la Versión Completa del juego!","¡Más personajes disponibles en la Versión Completa del juego!","Mehr Charaktere in der Vollversion des Spiels verfügbar!","Więcej postaci dostępnych w pełnej wersji gry!","Più Eroi disponibili nella versione completa!","Daha çok karakter, Tam Sürümde var!","Plus de personnages disponibles dans la Version Complète du jeu !","Mais personagens disponíveis na Versão Completa do jogo!","Mais personagens disponíveis na Versão Completa do jogo!","풀 버전에서 더 많은 캐릭터를 사용할 수 있습니다!","Több karakter elérhető a játék teljes verziójában!",""
"fire_rate_label","Fire Rate","発射速度","射速","射速","Темп стрельбы","Cadencia de Disparo","Cadencia de Disparo","Feuerrate","Szybkostrzelność","Rateo di fuoco","Ateş Hızı","Cadence de tir","Taxa de Disparo","Taxa de Disparo","연사 속도","Tűzgyorsaság",""
"reload_rate_label","Reload Rate","リロード速度","换弹速度","換彈速度","Перезарядка","Tiempo de Recarga","Tiempo de Recarga","Nachladegeschwindigkeit","Prędkość Przeładowania:","Velocità di ricarica","Yeniden Doldurma Hızı","Vitesse de rechargement","Taxa de Recarga","Taxa de Recarga","재장전 속도","Újratöltési sebesség",""
"max_ammo_label","Max Ammo","最大弾数","弹匣容量","彈匣容量","Магазин","Munición Max","Munición Max","Maximale Munition","Maksymalna Ammunicja","Munizioni massime","Şarjör Boyutu","Munitions Max.","Munição Máxima","Munição Máxima","최대 탄창","Maximum Lőszer",""
"bullet_damage_label","Bullet Damage","弾のダメージ","子弹伤害","子彈傷害","Урон от снарядов","Daño de Bala","Daño de Bala","Waffenschaden","Obrażenia Pocisku","Danno Proiettile","Mermi Hasarı","Dégâts des balles","Dano do Disparo","Dano do Disparo","탄환 피해량","Golyó Sebzés",""
"summon_damage_label","Summon Damage","召喚物ダメージ","召唤物伤害","召喚物傷害","Урон призыва","Daño de Invocación","Daño de Invocación","Beschwörungsschaden","Obrażenia Przywołania","Danno dell'Evocazione","Çağırma Hasarı","Dégâts des invocations","Dano do Conjurado","Dano do Conjurado","소환수 피해량","Idézett Lények Sebzése",""
"summon_attack_speed_label","Summon Attack Speed","召喚物攻撃速度","召唤物攻击速度","召喚物攻擊速度","Скорость атаки призыва","Vel. de Ataque de Invo.","Vel. de Ataque de Invo.","Beschwörungs Angriffsgeschwindigkeit","Prędkość Ataku Przywołania","Velocità d'attacco dell'Evocazione","Çağırma Saldırı Hızı","Vitesse d'attaque des invocations","Velocidade de Ataque do Conjurado","Velocidade de Ataque do Conjurado","소환수 공격 속도","Idézett Lények Támadási Sebessége",""
"projectiles_label","Projectiles","同時発射数","每发弹丸数量","每發彈丸數量","Снаряды","Proyectiles","Proyectiles","Projektile","Pociski","Proiettili","Mermi","Projectiles","Projéteis","Projéteis","발사체 수","Lövedékek",""
"projectile_speed_label","Bullet Speed","弾の速度","弹道速度","彈道速度","Скорость снаряда","Velocidad de Bala","Velocidad de Bala","Projektilgeschwindigkeit","Prędkość Pocisku","Velocità proiettile","Mermi Hızı","Vitesse des balles","Velocidade do Projétil","Velocidade do Projétil","탄환 속도","Golyó Gyorsaság",""
"projectile_size_label","Bullet Size","弾の大きさ","子弹大小","子彈大小","Размер снаряда","Tamaño de Bala","Tamaño de Bala","Projektilgröße","Rozmiar Pocisku","Dimensioni proiettile","Mermi Boyutu","Taille des balles","Tamanho do Disparo","Tamanho do Disparo","탄환 크기","Golyó Méret",""
"knockback_label","Knockback","ノックバック","击退","擊退","Отброс","Empuje","Empuje","Rückstoß","Odrzut","Contraccolpo","Geri İtme","Recul","Empurrão","Empurrão","넉백","Hátralökés",""
"move_speed_label","Move Speed","移動速度","移动速度","移動速度","Скорость бега","Vel. de Movimiento","Vel. de Movimiento","Bewegungsgeschwindigkeit","Prędkość Ruchu","Velocità di movimento","Hareket Hızı","Vitesse de Déplacement","Velocidade de Movimento","Velocidade de Movimento","이동 속도","Mozgás Sebesség",""
"walk_speed_label","Walk Speed","歩き速度","射击时移动速度","射擊時移動速度","Скорость ходьбы","Vel. de Caminata","Vel. de Caminata","Laufgeschwindigkeit","Prędkość Chodu","Velocità di camminata","Yürüme Hızı","Vitesse de Marche","Velocidade do Passo","Velocidade do Passo","발사 중 이동 속도","Séta Sebesség",""
"spread_label","Spread","拡散","扩散","擴散","Разброс","Extención","Extención","Streuung","Rozproszenie Ognia","Dispersione","Dağılma","Rayon","Amplitude","Amplitude","산탄 범위","Szórás",""
"bounce_label","Bullet Bounce","弾の反射","子弹弹射","子彈彈射","Рикошет","Rebote de Bala","Rebote de Bala","Abprallende Kugeln","Odbijanie się Pocisku","Rimbalzo Proiettile","Mermi Sekmesi","Rebon des balles","Ricochete do Disparo","Ricochete do Disparo","튕김","Golyó Pattogás",""
"piercing_label","Piercing","貫通","穿透","穿透","Пронзание","Penetración","Penetración","Durchdringen","Penetracja","Perforazione","Delme","Transperçant","Perfuração","Perfuração","관통","Átütés",""
"max_hp_label","Max HP","最大HP","最大血量","最大血量","Макс ОЗ","PS Max","PS Max","Maximale Lebenspunkte","Maksymalne HP","HP massimi","Maksimum Can","PV Max.","PV Máximo","PV Máximo","최대 HP","Maximum Életerő",""
"character_size_label","Character Size","キャラサイズ","角色体型","角色體型","Размер персонажа","Tamaño de Personaje","Tamaño de Personaje","Charaktergröße","Rozmiar Postaci","Dimensione Eroe","Karakter Boyutu","Taille du personnage","Tamanho do Personagem","Tamanho do Personagem","캐릭터 크기","Karakter Méret",""
"haste_name","Haste","ブースト","疾走","疾走","Спешка","Prisa","Prisa","Eile","Pośpiech","Rapidità","Acele","Hâte","Aceleração","Aceleração","질주","Sietség",""
"blazing_speed_name","Blazing Speed","ブレイジングスピード","炽烈之焰","熾烈之焰","Палящая скорость","Velocidad Ardiente","Velocidad Ardiente","Lodernde Geschwindigkeit","Niezwykła Prędkość","Torcia Umana","Yol Yakan","Vitesse Fulgurante","Velocidade Ardente","Velocidade Ardente","불의 질주","Lángoló Igyekezet",""
"blazing_speed_description","Inflict <color=#f5d6c1>Burn</color> on nearby enemies as you run. The effect occurs more often the faster you move.","移動中、周りの敵に<color=#f5d6c1>燃焼</color>を与える。移動速度が速いほど発動頻度が上昇。","奔跑时给予附近敌人 <color=#f5d6c1>燃烧</color> 效果。发动频率随角色移动速度上升而加快。","奔跑時給予附近敵人 <color=#f5d6c1>燃燒</color> 效果。發動頻率隨角色移動速度上升而加快。","<color=#f5d6c1>Поджигает</color> ближайших врагов во время бега. Частота срабатывания зависит от скорости движения.","Inflinge <color=#f5d6c1>Quemar</color> a los enemigos circundantes mientras corres. El efecto ocurre más seguido si vas más rápido.","Inflinge <color=#f5d6c1>Quemar</color> a los enemigos circundantes mientras corres. El efecto ocurre más seguido si vas más rápido.","Verursache <color=#f5d6c1>Brand</color> bei allen nahen Gegnern, während du rennst. Der Effekt wird öfter ausgelöst umso schneller du dich bewegst.","<color=#f5d6c1>Podpalaj</color> pobliskich przeciwników podczas biegu. Częstotliwość nakładania efektu zależy od twojej prędkości.","Infliggi <color=#f5d6c1>Bruciatura</color> ai nemici vicini mentre corri. L'effetto avviene più spesso dipendentemente dalla tua velocità.","Hareket ettikçe yakınındaki düşmanlara <color=#f5d6c1>Yakma</color> etkisi ver. Bu etki hareket hızına arttıkça daha fazla sıklıkla olur.","Inflige <color=#f5d6c1>Brûlure</color> aux ennemis proches lorsque vous courez. L'effet se déclenche plus souvent si vous vous déplacez rapidement.","Inflige <color=#f5d6c1>Queimação</color> nos inimigos próximos conforme você corre. Quanto mais rápido você se move, mais frequente o efeito.","Inflige <color=#f5d6c1>Queimação</color> nos inimigos próximos conforme você corre. Quanto mais rápido você se move, mais frequente o efeito.","이동 중 가까운 적에게 <color=#f5d6c1>화염</color>을 가합니다. 이 효과는 빠르게 움직일수록 더 자주 발생합니다.","A közeledben lévő ellenfeleket <color=#f5d6c1>Felgyújtod</color> ahogy mozogsz. Ez a hatás többször történik meg, minnél gyorsabban mozogsz.",""
"run_and_gun_name","Run and Gun","ラン&ガン","跑动射击","跑動射擊","Беги и стреляй","Corre y Dispara","Corre y Dispara","Laufen und Schießen","Biegnij i strzelaj","Corri e Spara","Koş ve Ateş Et","Foncez et canardez.","Correr e Atirar","Correr e Atirar","총총걸음","Futólövész",""
"in_the_wind_name","In the Wind","追い風","意气风发","意氣風發","Попутный ветер","En el Viento","En el Viento","Rückenwind","Na wietrze","Nel Vento","Rüzgarla Beraber","Dans le vent","Veloz como o Vento","Veloz como o Vento","바람타기","Hátszél",""
"in_the_wind_description","Increase Bullet Damage and Move Speed by <color=#f5d6c1>10%</color> every <color=#f5d6c1>10</color> seconds (max <color=#f5d6c1>40%</color>). This bonus resets when you get hit.","弾のダメージと移動速度を<color=#f5d6c1>10</color>秒ごとに<color=#f5d6c1>10%</color>増加。(最大<color=#f5d6c1>40%</color>) このボーナスは攻撃を受けるとリセットされる。","每 <color=#f5d6c1>10</color> 秒增加 <color=#f5d6c1>10%</color>子弹伤害及移动速度（上限 <color=#f5d6c1>40%</color> ）。角色受到伤害后效果重置。","每 <color=#f5d6c1>10</color> 秒增加 <color=#f5d6c1>10%</color>子彈傷害及移動速度（上限 <color=#f5d6c1>40%</color> ）。角色受到傷害後效果重置。","Увеличивает урон и скорость бега на <color=#f5d6c1>10%</color> каждые <color=#f5d6c1>10</color> секунд (макс <color=#f5d6c1>40%</color>). Эффект сбрасывается при получении урона.","Incremente el Daño de Bala y la Vel. de Movimiento por <color=#f5d6c1>10%</color> cada <color=#f5d6c1>10</color> segundos (max <color=#f5d6c1>40%</color>). Este extra se resetea cuando te dañan.","Incremente el Daño de Bala y la Vel. de Movimiento por <color=#f5d6c1>10%</color> cada <color=#f5d6c1>10</color> segundos (max <color=#f5d6c1>40%</color>). Este extra se resetea cuando te dañan.","Erhöhe Waffenschaden und Bewegungsgeschwindigkeit für <color=#f5d6c1>10%</color> alle <color=#f5d6c1>10</color> Sekunden. (maximal <color=#f5d6c1>40%</color>). Dieser Bonus wird zurückgesetzt, wenn du getroffen wirst.","Obrażenia od pocisków i prędkość poruszania się zostają zwiększone o <color=#f5d6c1>10%</color> co <color=#f5d6c1>10</color> sekund (maksymalnie <color=#f5d6c1>40%</color>). Ten bonus resetuje się gdy twoja postać zostaje trafiona.","Aumenta il danno dei proiettili e la velocità di movimento del <color=#f5d6c1>10%</color> ogni <color=#f5d6c1>10</color> secondi (max <color=#f5d6c1>40%</color>). Questo bonus viene resettato quando vieni colpito.","Her <color=#f5d6c1>10</color> saniyede bir <color=#f5d6c1>10%</color> Hareket Hızı ve Mermi Hasarı kazanırsın (maksimum <color=#f5d6c1>40%</color>). Bu bonus hasar yediğinde sıfırlanır.","Augmente les Dégâts des balles et la Vitesse de Déplacement de <color=#f5d6c1>10%</color> toutes les <color=#f5d6c1>10</color> secondes (Max. <color=#f5d6c1>40%</color>). Ce bonus se réinitialise lorsque vous subissez des dégâts.","Aumenta o Dano do Disparo e a Velocidade de Movimento em <color=#f5d6c1>10%</color> a cada <color=#f5d6c1>10</color> segundos (máx. <color=#f5d6c1>40%</color>). Este bônus reinicia quando você for atingido.","Aumenta o Dano do Disparo e a Velocidade de Movimento em <color=#f5d6c1>10%</color> a cada <color=#f5d6c1>10</color> segundos (máx. <color=#f5d6c1>40%</color>). Este bônus reinicia quando você for atingido.","<color=#f5d6c1>10</color>초마다 탄환 피해량과 이동 속도를 <color=#f5d6c1>10%</color> 증가시킵니다(최대 <color=#f5d6c1>40%</color>). 공격을 받으면 초기화됩니다.","Megnöveli a Golyó Sebzést és Mozgás Sebességet <color=#f5d6c1>10%</color>-al <color=#f5d6c1>10</color> másodpercenként (maximum <color=#f5d6c1>40%</color>). Ez a bónusz újraindul ha eltalálnak.",""
"big_shot_name","Big Shot","ビッグショット","大口径子弹","大口徑子彈","Тяжелые пули","Gran Disparo","Gran Disparo","Großer Schuss","Duży Strzał","Gran Colpo","Büyük Vuruş","","Disparo Pesado","Disparo Pesado","빅 샷","Nagyágyú",""
"power_shot_name","Power Shot","パワーショット","强力射击","強力射擊","Мощный выстрел","Disparo Poderoso","Disparo Poderoso","Mächtiger Schuss","Mocny Strzał","Colpo Possente","Güçlü Vuruş","Tir puissant","Disparo Potente","Disparo Potente","파워 샷","Erőlöveg",""
"splinter_name","Splinter","破片","碎片迸发","碎片迸發","Осколочный","Fragmentado","Fragmentado","Splitter","Drzazga","Scheggia","Kıymık","Éclat","Estilhaço","Estilhaço","파편화","Szétforgácsolás",""
